edge_floor_pct,prob_floor_pct,window_n,window_roi_pct,window_ci_low,window_ci_high,window_abs_return,window_thin,pre_n,pre_roi_pct,pre_ci_low,pre_ci_high,pre_abs_return,pre_thin
5,35,1515,3.4,-3.7,10.4,50.9,0,3545,0,-4.3,4.3,0.6,0
5,36,1506,3.5,-3.6,10.6,52.9,0,3530,-0.3,-4.6,4,-10.5,0
5,37,1474,3.5,-3.6,10.6,51.6,0,3448,-0.5,-4.8,3.9,-15.9,0
5,38,1417,3.2,-4,10.5,45.9,0,3325,-0.7,-5,3.7,-22.2,0
5,39,1344,4,-3.4,11.4,54.2,0,3171,-1.6,-5.9,2.8,-49.5,0
5,40,1299,5,-2.5,12.5,65,0,3018,-2.2,-6.6,2.2,-66.7,0
5,41,1227,5,-2.6,12.7,61.6,0,2878,-1.8,-6.3,2.7,-51.7,0
5,42,1163,6.1,-1.8,13.9,70.6,0,2752,-2.4,-7,2.1,-66.9,0
5,43,1112,7.3,-0.7,15.4,81.6,0,2595,-1.1,-5.7,3.6,-27.6,0
5,44,1036,7,-1.3,15.3,72.5,0,2461,-1.2,-5.9,3.6,-28.4,0
5,45,981,7.4,-1.1,16,73,0,2329,-1,-5.8,3.9,-22.8,0
5,46,926,5.1,-2.4,12.6,47.4,0,2179,-1.3,-6.3,3.7,-28.5,0
5,47,859,5.2,-2.5,12.8,44.5,0,2042,-2.5,-7.5,2.6,-50.7,0
5,48,805,7.7,-0.2,15.7,62.4,0,1907,-2.1,-7.3,3.1,-40,0
5,49,759,8.5,0.4,16.6,64.7,0,1767,-2.5,-7.8,2.9,-43.7,0
5,50,704,10,1.6,18.3,70.3,0,1651,-2.8,-8.3,2.7,-46,0
5,51,649,5.7,-2.8,14.2,37,0,1520,-1.6,-7.3,4,-25,0
5,52,598,4.6,-4.1,13.3,27.6,0,1410,-0.7,-6.6,5.2,-9.5,0
5,53,547,3.1,-5.9,12.1,17.1,0,1311,0.5,-5.6,6.6,6.2,0
5,54,497,3.5,-5.8,12.8,17.3,0,1202,0.7,-5.6,7.1,8.7,0
5,55,448,5,-4.8,14.8,22.5,0,1098,2,-4.6,8.6,21.5,0
5,56,419,4.2,-5.7,14.2,17.7,0,1011,1.5,-5.3,8.2,15,0
5,57,383,2.8,-7.5,13,10.6,0,924,1.2,-5.6,8,11.1,0
5,58,344,3.4,-7.4,14.2,11.6,0,841,0.4,-6.7,7.5,3.5,0
5,59,312,4.9,-6.1,15.8,15.2,0,769,-1.2,-8.6,6.2,-9.2,0
5,60,286,4.4,-6.7,15.4,12.5,0,711,-1.1,-8.6,6.5,-7.5,0
5,61,261,4.6,-6.8,16,12.1,0,639,-3,-10.7,4.8,-18.9,0
5,62,235,4.1,-7.7,16,9.7,0,578,-2.7,-10.7,5.3,-15.5,0
5,63,205,6.5,-6.1,19.1,13.3,0,511,-3.3,-11.7,5.1,-16.8,0
5,64,182,7.7,-5.4,20.8,14,0,445,-0.9,-9.8,8.1,-3.9,0
5,65,161,9.6,-4.4,23.5,15.4,0,392,-2.3,-11.4,6.8,-8.8,0
6,35,1382,4.2,-3.3,11.7,57.5,0,3229,-0.4,-5,4.1,-13.4,0
6,36,1374,4.3,-3.3,11.8,58.6,0,3215,-0.8,-5.3,3.8,-25.4,0
6,37,1347,4.3,-3.2,11.9,58.2,0,3142,-1.1,-5.6,3.5,-33.7,0
6,38,1295,4.1,-3.6,11.8,53.3,0,3037,-1.3,-5.9,3.3,-40.3,0
6,39,1227,4.8,-3,12.7,59.4,0,2911,-2.2,-6.8,2.4,-63.9,0
6,40,1188,6.1,-1.9,14.1,72.8,0,2775,-2.7,-7.4,1.9,-76,0
6,41,1125,6.1,-2.1,14.2,68.3,0,2652,-2.4,-7.2,2.3,-64.4,0
6,42,1067,7.4,-1,15.8,79.1,0,2537,-3.3,-8.1,1.5,-82.6,0
6,43,1024,8.5,0,17.1,87.2,0,2399,-1.9,-6.8,3.1,-44.4,0
6,44,958,8.1,-0.6,16.9,78.1,0,2278,-2.1,-7.1,2.9,-48.3,0
6,45,910,8.7,-0.4,17.7,78.8,0,2161,-1.9,-7,3.2,-41.2,0
6,46,860,5.9,-2,13.7,50.5,0,2028,-2,-7.2,3.2,-40.2,0
