edge_floor_pct,prob_floor_pct,window_n,window_roi_pct,window_ci_low,window_ci_high,window_abs_return,window_thin,pre_n,pre_roi_pct,pre_ci_low,pre_ci_high,pre_abs_return,pre_thin
5,35,945,4.6,-5.2,14.4,43.1,0,2241,-1.4,-7.2,4.3,-31.6,0
5,36,941,4.6,-5.2,14.4,43.6,0,2231,-1.7,-7.4,4.1,-37.5,0
5,37,920,5.1,-4.8,15,47,0,2181,-1.8,-7.6,3.9,-40,0
5,38,886,5.5,-4.6,15.6,48.8,0,2104,-1.8,-7.6,4.1,-37.1,0
5,39,836,8,-2.4,18.4,66.8,0,2015,-3.3,-9.2,2.5,-66.9,0
5,40,808,8.9,-1.6,19.5,72.1,0,1929,-3.1,-9,2.8,-60,0
5,41,765,8.4,-2.4,19.3,64.6,0,1844,-3.1,-9.1,2.9,-57.7,0
5,42,721,10.1,-1.1,21.2,72.5,0,1773,-4.1,-10.2,2,-72.3,0
5,43,700,11.4,0,22.7,79.6,0,1671,-2.1,-8.3,4.2,-35,0
5,44,652,11.2,-0.5,23,73.3,0,1591,-2.5,-8.9,3.8,-40.5,0
5,45,617,12.8,0.6,24.9,78.9,0,1509,-2.2,-8.7,4.3,-32.8,0
5,46,586,8.7,-1.4,18.8,51.1,0,1411,-1.8,-8.4,4.9,-25.3,0
5,47,548,8.2,-2.1,18.5,45,0,1328,-3.6,-10.4,3.1,-48.2,0
5,48,517,11.5,0.9,22.2,59.6,0,1248,-3.1,-10,3.8,-38.4,0
5,49,488,12.5,1.6,23.4,61.1,0,1164,-3.5,-10.7,3.6,-41.1,0
5,50,457,13.2,2,24.5,60.5,0,1094,-3.7,-11,3.6,-40.6,0
5,51,427,7.6,-3.6,18.8,32.5,0,1013,-2.1,-9.7,5.5,-21.4,0
5,52,388,6.7,-5,18.4,26.1,0,940,-0.7,-8.6,7.2,-6.6,0
5,53,359,6.2,-5.8,18.2,22.2,0,871,1,-7.2,9.2,8.4,0
5,54,329,6.4,-6,18.7,20.9,0,805,1.9,-6.6,10.4,15.1,0
5,55,302,7.8,-5.1,20.7,23.5,0,727,3,-5.9,12,22.1,0
5,56,281,6.6,-6.6,19.8,18.5,0,662,1.4,-7.8,10.6,9.2,0
5,57,259,4.1,-9.4,17.7,10.7,0,608,-0.1,-9.4,9.1,-0.8,0
5,58,233,6.1,-8.2,20.3,14.1,0,559,-1.9,-11.5,7.8,-10.4,0
5,59,205,7.5,-7.2,22.2,15.4,0,510,-3.6,-13.6,6.4,-18.2,0
5,60,191,7.1,-7.5,21.6,13.5,0,478,-3.8,-14,6.3,-18.4,0
5,61,169,8,-7.3,23.3,13.5,0,427,-7.7,-18.1,2.7,-32.8,0
5,62,149,8,-8.1,24.2,12,0,387,-7.5,-18.4,3.3,-29.2,0
5,63,131,12,-5.1,29.1,15.7,0,345,-7.6,-18.8,3.7,-26.1,0
5,64,118,11.1,-6.6,28.8,13.1,0,301,-5.5,-17.5,6.6,-16.4,0
5,65,105,14.2,-4.6,32.9,14.9,0,269,-7.7,-19.7,4.4,-20.6,0
6,35,837,5.5,-5.2,16.1,45.7,0,1970,-2.4,-8.6,3.8,-47,0
6,36,834,5.4,-5.3,16.1,45.2,0,1961,-2.6,-8.8,3.6,-50.5,0
6,37,816,5.6,-5.2,16.3,45.6,0,1922,-2.6,-8.8,3.6,-50.3,0
6,38,786,6.8,-4.2,17.7,53.3,0,1862,-2.6,-8.8,3.7,-48,0
6,39,739,9.2,-2.1,20.6,68.2,0,1786,-4,-10.3,2.3,-71.7,0
6,40,717,9.9,-1.6,21.4,70.6,0,1716,-3.4,-9.7,3,-57.6,0
6,41,683,9.2,-2.5,21,63,0,1643,-3.5,-10,2.9,-58.2,0
6,42,641,10.7,-1.4,22.9,68.9,0,1590,-3.9,-10.5,2.6,-62.6,0
6,43,623,11.7,-0.6,24.1,73,0,1500,-2.1,-8.8,4.6,-31.6,0
6,44,584,12.2,-0.5,25,71.5,0,1428,-2.6,-9.4,4.2,-36.9,0
6,45,555,13.8,0.6,26.9,76.5,0,1358,-2.2,-9.2,4.7,-30.5,0
6,46,528,9.9,-0.9,20.8,52.5,0,1271,-1.9,-9,5.2,-24.2,0
6,47,494,10.1,-1,21.1,49.7,0,1198,-4.1,-11.4,3.1,-49.6,0
6,48,467,13.4,2.1,24.8,62.8,0,1133,-3.5,-10.9,3.9,-39.8,0
6,49,440,14.7,3,26.4,64.7,0,1058,-3.5,-11.1,4.1,-37.2,0
6,50,412,16,4,28,65.9,0,996,-3.3,-11.1,4.4,-33.3,0
6,51,387,10.9,-1.1,22.9,42.1,0,926,-1.7,-9.8,6.4,-15.8,0
6,52,352,9.7,-2.8,22.1,34,0,865,-0.7,-9.1,7.6,-6.1,0
6,53,329,8.6,-4.1,21.4,28.4,0,802,0.9,-7.8,9.6,7.5,0
6,54,299,9.1,-4.1,22.2,27.1,0,741,1.5,-7.5,10.6,11.4,0
6,55,275,10.5,-3.2,24.2,28.9,0,673,2.5,-7,12,16.9,0
6,56,257,8.1,-5.9,22.1,20.9,0,612,0.7,-9.1,10.5,4.2,0
6,57,237,5.5,-8.9,19.9,13.1,0,564,-0.3,-10,9.5,-1.6,0
6,58,213,7.8,-7.4,22.9,16.5,0,519,-2.1,-12.3,8.1,-11.1,0
6,59,187,9.5,-6.1,25.2,17.8,0,472,-3.6,-14.1,7,-16.9,0
6,60,175,9,-6.4,24.4,15.8,0,441,-4.1,-14.9,6.6,-18.1,0
6,61,155,10.1,-6.1,26.3,15.7,0,391,-8.1,-19.1,3,-31.6,0
6,62,137,10.3,-6.8,27.3,14.1,0,356,-7.2,-18.6,4.3,-25.5,0
6,63,119,14.9,-3.2,33.1,17.8,0,317,-6.8,-18.8,5.1,-21.7,0
6,64,108,13.8,-4.8,32.5,14.9,0,277,-3.9,-16.6,8.9,-10.7,0
6,65,97,17,-2.7,36.7,16.5,0,249,-6.1,-18.9,6.6,-15.3,0
7,35,741,8.7,-2.9,20.3,64.4,0,1704,-3.1,-9.9,3.6,-53.6,0
7,36,739,9,-2.7,20.6,66.4,0,1698,-3.3,-10,3.4,-56.4,0
7,37,725,8.7,-3,20.4,62.8,0,1670,-3.6,-10.3,3.1,-60.3,0
7,38,700,9.8,-2.1,21.7,68.9,0,1620,-3.6,-10.3,3.2,-57.6,0
7,39,663,12.6,0.3,24.9,83.6,0,1560,-4.7,-11.5,2,-74,0
7,40,643,13.1,0.6,25.5,84,0,1503,-3.6,-10.5,3.3,-53.7,0
7,41,613,11.8,-0.9,24.5,72.4,0,1449,-3.5,-10.5,3.4,-51.3,0
7,42,579,13.7,0.6,26.8,79.3,0,1404,-4,-11.1,3,-56.7,0
7,43,565,14.6,1.3,27.9,82.3,0,1336,-2.5,-9.7,4.7,-33.1,0
7,44,532,15.2,1.5,28.9,80.7,0,1278,-2.8,-10.1,4.6,-35.2,0
7,45,508,16.4,2.3,30.5,83.5,0,1219,-2.1,-9.6,5.4,-25.9,0
7,46,485,12,0.5,23.5,58.2,0,1143,-1.7,-9.4,5.9,-19.7,0
7,47,454,11.5,-0.2,23.2,52.3,0,1083,-3.9,-11.6,3.8,-42.4,0
7,48,431,14.3,2.3,26.3,61.5,0,1024,-3,-10.9,4.9,-31,0
7,49,406,15.7,3.4,28.1,63.9,0,957,-2.8,-10.9,5.4,-26.5,0
7,50,384,16,3.4,28.6,61.4,0,902,-2.7,-11.1,5.6,-24.7,0
7,51,361,11,-1.6,23.6,39.8,0,840,-0.4,-9,8.3,-3.2,0
7,52,329,10.1,-2.9,23.2,33.3,0,788,0.9,-8,9.8,6.9,0
7,53,309,9.3,-4,22.6,28.6,0,733,2.6,-6.6,11.9,19.3,0
7,54,282,10.2,-3.5,24,28.9,0,678,3.2,-6.4,12.8,21.7,0
7,55,261,11.4,-2.9,25.7,29.7,0,620,3.5,-6.6,13.6,21.7,0
