e,p,n,act,mkt,beyond,z,roi,lo,hi,odds,blocksBeyondPos,winN,winBeyond,winRoi,preN,preBeyond,preRoi
5,35,1123,38.6,36.5,2.1,1.43,7.6,-1.6,16.8,2.87,4,328,2.2,11.2,795,2,6.1
5,36,1118,38.6,36.6,2.1,1.45,7.8,-1.5,17,2.87,4,326,2.4,11.9,792,2,6
5,37,1093,38.8,36.8,2,1.36,7.4,-1.9,16.7,2.85,4,320,2.6,12.6,773,1.7,5.2
5,38,1056,39.3,37.2,2.1,1.41,8.1,-1.4,17.6,2.81,4,309,3.2,15.4,747,1.6,5.1
5,39,1003,39.9,37.8,2.1,1.39,8.5,-1.2,18.2,2.76,4,292,3.2,16.1,711,1.7,5.4
5,40,964,40.9,38.2,2.7,1.74,10.8,0.8,20.8,2.73,4,284,3.7,18.2,680,2.3,7.7
5,41,922,41.2,38.6,2.6,1.65,10.8,0.6,21,2.7,4,271,3.1,16.4,651,2.4,8.4
5,42,872,41.4,39,2.4,1.43,10.2,-0.3,20.7,2.67,4,255,3.5,18.7,617,1.9,6.7
5,43,834,42.2,39.5,2.8,1.63,11.8,1.1,22.6,2.64,4,250,3.8,19.9,584,2.3,8.4
5,44,782,42.7,40,2.7,1.56,12.2,1,23.4,2.61,4,230,3.8,21.4,552,2.3,8.4
5,45,743,43.2,40.4,2.8,1.56,12.8,1.2,24.3,2.58,4,221,4.3,23.6,522,2.2,8.2
5,46,702,43.7,40.9,2.8,1.53,9.6,-0.5,19.7,2.52,4,211,3.5,12.3,491,2.5,8.5
5,47,669,43.9,41.3,2.7,1.42,9.4,-1,19.7,2.5,3,198,4,13.7,471,2.2,7.5
5,48,630,44.8,41.7,3.1,1.56,10.7,0.1,21.3,2.47,4,189,4.2,14.7,441,2.6,9
5,49,586,45.2,42.2,3,1.49,11.3,0.3,22.4,2.44,4,177,4.6,16.5,409,2.3,9.1
5,50,547,45,42.6,2.4,1.13,9.7,-1.7,21.1,2.42,3,162,3.5,14.5,385,1.9,7.7
5,51,504,45.6,43.2,2.5,1.12,9.5,-2.2,21.2,2.39,4,150,1.2,6.2,354,3,10.9
5,52,456,45.4,43.8,1.6,0.68,7.5,-4.7,19.8,2.35,3,134,-1.9,-1,322,3,11.1
5,53,421,46.1,44.3,1.8,0.75,8,-4.7,20.7,2.33,3,120,-3.4,-5.6,301,3.9,13.4
5,54,390,46.7,44.8,1.9,0.75,8.3,-4.9,21.5,2.29,3,110,-3.1,-5.2,280,3.9,13.6
5,55,355,47.9,45.2,2.7,1.02,11.3,-2.7,25.4,2.28,3,102,-4.2,-5.8,253,5.5,18.2
5,56,326,47.5,45.7,1.9,0.69,8.2,-6,22.5,2.25,3,96,-4.1,-6.2,230,4.4,14.3
5,57,298,47.7,46,1.6,0.57,6.5,-7.8,20.9,2.23,3,86,-4.3,-5.9,212,4,11.6
5,58,268,46.6,46.6,0.1,0.02,3.9,-11.3,19.1,2.21,2,78,-4.7,-5.3,190,2,7.7
5,59,241,47.3,47.2,0.1,0.02,3.6,-12.3,19.5,2.18,2,69,-5.5,-6,172,2.3,7.5
5,60,220,47.7,47.7,0,0.01,1.5,-14.3,17.3,2.13,2,62,-4.4,-7.9,158,1.8,5.2
5,61,195,48.7,48.3,0.5,0.13,1.1,-15,17.1,2.1,1,55,-1.1,0.2,140,1.1,1.4
5,62,171,48.5,48.9,-0.3,-0.09,-1.4,-18.2,15.3,2.05,2,49,-4,-6,122,1.2,0.4
5,63,156,48.7,49.2,-0.5,-0.13,-1.2,-18.8,16.4,2.05,1,44,-1.4,0.4,112,-0.2,-1.9
5,64,125,49.6,50.2,-0.6,-0.13,-0.6,-20.5,19.2,2.01,2,36,-3,-2,89,0.4,-0.1
5,65,110,51.8,50.7,1.1,0.23,3.9,-17.5,25.3,2,2,33,-1.9,1.2,77,2.4,5
6,35,995,37.9,36.2,1.7,1.09,7.2,-2.8,17.2,2.91,4,302,2.6,12.7,693,1.3,4.8
6,36,990,38,36.3,1.7,1.11,7.4,-2.6,17.4,2.9,4,300,2.8,13.5,690,1.2,4.8
6,37,970,38.1,36.5,1.6,1.05,7.2,-2.9,17.3,2.88,4,295,2.9,13.9,675,1.1,4.2
6,38,941,38.7,36.9,1.8,1.14,8.1,-2.2,18.4,2.85,3,285,3.5,16.6,656,1.1,4.4
6,39,895,39.1,37.4,1.7,1.02,8,-2.5,18.5,2.8,4,269,3.3,17,626,0.9,4.2
6,40,862,40,37.8,2.2,1.32,10.2,-0.5,21,2.77,4,262,3.8,18.8,600,1.5,6.5
6,41,826,40.3,38.2,2.1,1.22,10.1,-0.9,21.1,2.74,4,250,3.3,17.6,576,1.5,6.8
6,42,790,40.8,38.7,2.1,1.21,10.6,-0.6,21.9,2.71,4,235,3.7,19.6,555,1.4,6.8
6,43,755,41.6,39.1,2.5,1.42,12.4,0.8,24,2.68,4,230,4,21,525,1.9,8.6
6,44,711,42.2,39.6,2.6,1.43,13.1,1.1,25.2,2.65,4,214,4.7,24.4,497,1.7,8.3
6,45,679,42.6,40,2.6,1.38,13.4,1.1,25.8,2.62,4,206,5,26.2,473,1.5,7.9
6,46,640,43,40.5,2.5,1.28,9.7,-1.1,20.5,2.56,4,196,4.3,14.1,444,1.7,7.8
6,47,612,43.1,40.8,2.3,1.16,9.3,-1.6,20.3,2.53,3,183,4.8,15.8,429,1.3,6.6
6,48,576,44.1,41.3,2.8,1.38,11.1,-0.2,22.4,2.51,4,174,5.1,17,402,1.9,8.5
6,49,535,44.9,41.8,3.1,1.45,12.5,0.7,24.3,2.48,4,162,5.6,19.2,373,2,9.6
6,50,500,44.6,42.2,2.4,1.11,10.7,-1.4,22.9,2.46,3,149,4.6,17.3,351,1.5,7.9
6,51,461,45.3,42.7,2.6,1.12,10.7,-1.9,23.2,2.42,4,139,2.9,10.2,322,2.4,10.9
6,52,418,45,43.4,1.6,0.65,8.4,-4.7,21.5,2.38,2,124,-0.6,1.9,294,2.5,11.2
6,53,390,45.4,43.8,1.5,0.61,8.1,-5.3,21.6,2.36,2,114,-1.8,-2.3,276,2.9,12.5
6,54,360,46.1,44.4,1.8,0.67,8.8,-5.2,22.8,2.32,2,104,-1.3,-1.5,256,3,13
6,55,331,47.1,44.8,2.3,0.85,11.4,-3.4,26.2,2.3,3,96,-2.3,-1.8,235,4.2,16.8
6,56,306,46.4,45.3,1.2,0.4,7.3,-7.6,22.3,2.27,2,92,-3,-4.2,214,2.9,12.3
